曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
朝色の紙飛行機(激),2014,132,378/15
天ノ弱(激),A,200(-205),427/5
アルストロメリア (walk with you remix)(鬼),X3,148,399/28(26)
アユミ☆マジカルショータイム(激),A3,187,448/17
鋳鉄の檻(激),A20+,200,480/17
エキサイティング!!も・ちゃ・ちゃ☆(激),A,187,425/10
御伽噺に幕切れを(激),A20+,131-203,428/26
乙女繚乱 舞い咲き誇れ(激),2014,210,468/25
朧(鬼),A,149,450/12
女言葉の消失(激),2014,136,418/14
革命パッショネイト(激),A20,194,482/14
キケンな果実(激),2013,174,424/13
共犯ヘヴンズコード(激),A20+,219,439/20
クリムゾンゲイト(激),2014,198,480/8
激アツ☆マジヤバ☆チアガール(激),2014,170,380/13
最終鬼畜妹フランドール・Ｓ(踊),A20,200,577/50
逆さま♥シンデレラパレード(激),A20+,135,413/19
桜(激),EXT,20-320,446/1
サヨナラ・ヘヴン(激),A3,111,459/14
幸せになれる隠しコマンドがあるらしい(激),A,142,491/5
漆黒のスペシャルプリンセスサンデー(激),2014,200,462/21
思想犯(激),A20+,200,556/21
灼熱 Pt.2 Long Train Running(踊),A20+,165,516/10
十二星座の聖域(激),A,164,448/21
スイーツはとまらない♪(激),A20,204,466/13
創世ノート(激),2013,200,490/35
宇宙(ソラ)への片道切符(激),A,88-175,317/21
大見解(鬼),EXT,143-172,433/16
闘え！ダダンダーンV(激),A,176,436/19
打打打打打打打打打打(激),A,156,448/25
地方創生☆チクワクティクス(激),2014,170,404/4
ちゅ～いん☆バニー(鬼),2014,180,323/19(52)
チルノのパーフェクトさんすう教室(激),A,175,409/30
チルノのパーフェクトさんすう教室(EDM REMIX)(激),A,130(-175),513/7
デッドボヲルdeホームラン(激),2014,145,424/17
東京神話(踊),A20+,98-196,504/13
ドーパミン(踊),2014,100-200(25-400),454/8
ナイト・オブ・ナイツ (Ryu☆Remix)(踊),A20,182,578/9
虹色(鬼),SN,160,427/6
熱情のサパデアード(激),A20,136,400/40
爆なな☆てすとロイヤー(激),2014,200,520/11
初音ミクの消失(激),A,240,533/10
ハッピーシンセサイザ(激),A,127,344/4
パ→ピ→プ→Yeah!(激),2014,160,358/11
叛逆のディスパレート(激),A20+,194,447/22
ビビットストリーム(激),2014,184,464/18
向日葵サンセット(激),A,135,339/18
ビューティフル レシート(激),X3,196,362/50
無頼ック自己ライザー(激),A,150,475/17
プレインエイジア -PHQ remix-(激),A,182,482/9
ベィスドロップ・フリークス(激),A,179,455/20
ホメ猫☆センセーション(激),2014,200,536/7
未完成ノ蒸氣驅動乙女 (DDR Edition)(踊),A20,85-170,468/34
みゅ、みゅ、Müllる(激),A3,150,398/32
酔いどれ知らず(激),A3,115,378/40
ラキラキ(激),2013,165,422/26
ラクガキスト(激),2014,199,562/2
ランカーキラーガール(踊),A20,200,425/26
繚乱ヒットチャート(激),X3,192,444/19
リリーゼと炎龍レーヴァテイン(踊),A3,200,492/8
AA(激),SN,154,386/2
Abrupt Madness(踊),A3,185,493/12
ACE FOR ACES(踊),A,200(100-800),467/19
Across the nightmare(鬼),EXT,300,372/0
actualization of self (weaponized)(踊),A20+,175,426/9
AFRONOVA(激),3rd,200,370/0
AFRONOVA (X-Special)(鬼),X,200,394/30
aftershock!!(激),X2,157(-628),447/14
ALBIDA(踊),GP/A3,185,426/12
ALGORITHM(激),A,130,423/16
ALL MY HEART -この恋に、わたしの全てを賭ける-(激),A,160,391/6
Amalgamation(激),X3,166,436/9
Angelic Jelly(激),A,100-200,531/2
Anthurium(激),A3,142,405/9
ANTI ANTHEM(踊),A20+,128-175(-350),373/52
Are U Ready(激),A3,155,453/18
Aria(踊),A3,90-180,431/24
Arrabbiata(踊),SN2,225,376/1
AWAKE(激),2014,180,444/33
bag(激),EXT,65,382/0
bag(鬼),EXT,65,382/0
Bang Pad(Werk Mix)(激),A20+,160,512/10
Be a Hero!(踊),A,190,562/18
BONE BORN(激),A3,135,403/13
BRIDAL FESTIVAL !!!(激),A20+,138,485/25
