レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★22,HARD TRANCE,RAY,MILK / obj:A-zert,4495,1913 (42%),78804,17.53
SP★22,Happy Hardcore -7 AHYA-,"Little ""Sister"" Bitch",t+pazolite,4012,1800 (44%),57800,14.4
SP★22,techno,Cynic (THE another),6yen / G / 、,3811,1630 (42%),76753,20.13
SP★22,Synth Rock,theme of Maia [29Another],ねこみみ魔法使い / 29,3578,1424 (39%),55894,15.62
SP★22,Dramatical,四十五年ノ雪桜 [EX],kozato /kody / air,3044,1348 (44%),43549,14.3
SP★22,Grand Finale,天空の城ヴェリエル [SABOTHER],うえつ氏 /さ,3039,1356 (44%),79656,26.21
SP★22,Drum 'n Bass,myste`re　 -LAST BOSS-,HOUJIROU / BGA: hardlove / obj: BANZAI,2979,1607 (53%),45110,15.14
SP★22,TRANCE,kyrka [MEISTER],MILK / air,2871,1203 (41%),39985,13.92
SP★22,HYPER TECNO,175bpm,AKIRA YAMAOKA /obj:WyWy,2612,1145 (43%),41893,16.03
SP★22,House,Under The Sunshine -LUNATIC-,dai / yuyuko,2595,970 (37%),39414,15.18
SP★22,fantasy,Altale [Mirage],削除 / obj.siokaze,2490,1179 (47%),39401,15.82
SP★22,Suomisaundi,Tuk Tuk Boshi -LAST BOSS-,Shaman Cure-All / obj:BAECON,2458,1395 (56%),41488,16.87
SP★22,INSI break,多重極展開 [yumether],Rocky / obj:夢瑠,2431,1376 (56%),45070,18.53
SP★22,H-techno,ロッカー -Ex-,ATEMAK/さ,2381,1299 (54%),80210,33.68
SP★22,PSYTEC,3.14 (TT mix) [yumether],ルゼ / obj:夢瑠,2352,1214 (51%),49117,20.88
SP★22,ドリームポップREMIX,dreamin' -happycore version - [INFERNO],AOiRO_Manbow with kagerow/ 差分 赤い人,2315,1456 (62%),70599,30.49
SP★22,11,Apollo -Mare Tranquillitatis-,xelloscope あ,2218,1247 (56%),35380,15.95
SP★22,Piano Progressive Metal,The Lamia 170 [INFELNO],w_tre / Mer /差分　赤い人,2138,941 (44%),42347,19.8
SP★22,丑三ツノ刻[殺],紅染十三番街道,L_Z,2074,1155 (55%),23469,11.31
SP★22,Happy hard core,Happico Happico -mundanity-,しらいし あ,1934,1032 (53%),45576,23.56
SP★22,GrimReaper,Black Lotus [PING],wa. / 百舌谷 obj: PING,1710,1237 (72%),33337,19.49
SP★22,Future Bass,Tears of the Sunrise [No Future],Airylic,1633,983 (60%),19356,11.85
SP★22,Pumpcore,Grayed Out -Antifront- [stLOng],Getty vs. DJ DiA BGA:わっふゑ vs. でこちんハンマー,1489,874 (58%),27990,18.79
SP★22,Hausdorff,Hay FEVER [G],魂魄糖,1464,1117 (76%),14206,9.7
SP★22,EMOTIONAL TRANCECORE,Ultimate Weapon [βφ],TetraElemental obj:BAECON vs Fender,1380,956 (69%),23021,16.68
SP★22,INFLUX,At the edge of dreams (KEN),α-2,1198,827 (69%),15346,12.8
