 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[4], ,フレンドリー(EX),Over The Rainbow,140,　,749,中(0.0)
[5], ,ミュージカル(EX),ミュージカル“5丁目物語”よりオーヴァーチュア,74～186,1:34,662,中(0.0)
[5], ,モンドポップ(EX),BICYCLE,152,　,946,強(+0.5)
[6], ,ヒップロック(H),大見解,143～172,1:54,690,弱(-0.5)
[6], ,メロコア(EX),H@ppy Choice,168,1:38,684,強(+0.5)
[7], ,クレイジーテクノ(EX),CHICKEN CHASER,170,1:48,805,中(0.0)
[7], ,Jr.R&B(EX),S・S・L　～スーパー・スペシャル・ラブ～,132,1:59,961,中(0.0)
[8], ,スカ(H),Cassandra,68～192,1:45,693,中(0.0)
[8], ,ターバン(H),manhattan sports club,178,1:40,707,個人差(-1.5)
[8], ,パビリオン(EX),theme of pop'n land,260,1:54,808,中(0.0)
[8], ,ピアノロック(EX),マリンドライブ,150,1:58,920,強(+0.5)
[8], ,ユーロビート(H),♥Love² シュガ→♥,155,1:57,905,中(0.0)
[9], ,俺ポップ(EX),垂直OK!,130,1:39,722, 詐称(+1.0)
[9], ,ハイパンク(H),cobalt,145～175,1:58,893,強(+0.5)
[10], ,ミクスチャー(H),Jack,116,1:43,841,中(0.0)
[11], ,グラディウス(H),GRADIUS -FULL SPEED-,160～220,1:58,663,個人差(-1.5)
[11], ,ナニワヒーロー(H),でんがな マンガナ,152,1:39,767,詐称(+1.0)
[11], ,ねぶた(H),烏,140,1:41,707,弱(-0.5)
[11], ,モンゴル(H),怒れる大きな白い馬,67～148,2:01,837,強(+0.5)
[12], ,ショータイム(EX),Ska Ska No.4,60～180,1:47,914,中(0.0)
[12], ,ハロウィン(EX),Trick or treat!,74～170,1:46,771,強(+0.5)
[12], ,ビワガタリ(EX),涙雨物語,156,2:01,1054,中(0.0)
[12], ,J-ジャズ(EX),Thinking of You,140,2:03,785,弱(-0.5)
[13], ,コウシンキョク(H),ワンダーアイランド,141,1:40,760,弱(-0.5)
[13], ,ハイパーマスカレード(H),masquerade,240,1:59,878,中(0.0)
[13], ,バラッド。(EX),アジサイの花,80～110,2:08,830,弱(-0.5)
[13], ,ピアノトロニカ(EX),コキュトス,125,2:04,783,弱(-0.5)
[13], ,メガネロック(H),ポップミュージック論,190,1:45,915,強(+0.5)
[13], ,ユーラシアロック(H),Infinity Blue,190,2:10,1063,強(+0.5)
[14], ,デスロック(H),レトロスペクト路,165,1:54,955,強(+0.5)
[14], ,トライ▼ユーロ(H),Let's go out!,160,1:48,730,弱(-0.5)
[14], ,パーティーロック(EX),PARTY A GO GO☆,190,1:49,985,中(0.0)
[14], ,バトルダンス(H),シャムシールの舞,100～155,1:56,856,強(+0.5)
[14], ,フィーバーヒーロー(H),フィーバー戦士ポップン14のテーマ,158～316,1:56,883,強(+0.5)
[14], ,ブロークンバンビート(EX),BIG-BANG STARS,125,1:52,811,中(0.0)
[14], ,ゆるポップ(EX),あつまれ！ビーくんソング,48～157,1:53,892,強(+0.5)
[14], ,レイジャズ(EX),NIGHT FEVER,145,1:55,905,詐称(+1.0)
[15], ,ガムラントランス(H),Gamelan de Couple,150,1:23,640,中(0.0)
[15], ,ケンドーロック(H),ギターケンドー,176,1:57,888,中(0.0)
[15], ,青春ロック(EX),儚きは我が決意,182,2:01,952,弱(-0.5)
[15], ,チテイタンケン(H),スーパーモグー,37～180,2:06,911,中(0.0)
[15], ,なまらジャズ(EX),One Phrase Blues,300,1:28,777,強(+0.5)
[15], ,ニューソウル(EX),My Own Swan,134,1:46,749,中(0.0)
[15], ,マリンクルーズ(EX),The Seven Ocean,130,1:45,814,中(0.0)
[16], ,グロッソラリア(H),万物快楽理論,110～135,2:07,920,詐称(+1.0)
[16], ,ケマリ(H),Kicky Kemari Kicker,136,2:03,743,強(+0.5)
[16], ,スパニッシュバラッド(EX),Dance to Blue,82,2:03,927,中(0.0)
[16], ,タワシーポップ(EX),愛車はタワシで洗ってる！？,128,2:05,926,中(0.0)
[16], ,パーティートラック(EX),タンバリンビーツ,120,1:56,852,中(0.0)
[16], ,ピコパンク(H),マスカレード・ア・ゴーゴー,150～170,1:52,829,中(0.0)
[16], ,ミニマルフュージョン(EX),天地創造（分子生物学的進化論）,110,2:01,845,中(0.0)
[16], ,ワールドツアー2(H),Magical 4,72～150,1:56,753,強(+0.5)
[17], ,カイジュウ(H),突然ゴルゴンゾーラ,140,2:05,1062,中(0.0)
[17], ,カプセルプリンセス(EX),ふしぎなくすり,162,2:00,1020,弱(-0.5)
[17], ,サイバーウエスタン(H),PITAゴラス☆KISS,148,1:58,963,強(+0.5)
[17], ,サイレント(H),音楽,210～520,2:21,1013,強(+0.5)
[17], ,ジャパニーズオルタレーション(EX),花吹雪 ～IIDX LIMITED～,150,1:35,719,中(0.0)
[17], ,ディープシーロマン(EX),The aim of Nautilus,160,1:58,977,強(+0.5)
[17], ,トーキョーロマンREMIX(EX),恋する東京 SF_P5 ElePop Mix,132,2:05,985,中(0.0)
[17], ,ハイパーファンタジア(H),Fantasia,165,1:46,981,強(+0.5)
[17], ,ハンズアップ(H),Second Heaven,149,2:00,807,詐称(+1.0)
[17], ,フォークトロニカ(EX),リンゴロジック,120,1:46,838,中(0.0)
[17], ,フレンチシネジャズ(EX),Le départ à L'Alpe-d'Huez,184,2:00,787,強(+0.5)
[17], ,ホッテストパーティー(H),will,145,1:44,817,強(+0.5)
[17], ,ラブリーモータウン(EX),プリズム,210,1:49,801,弱(-0.5)
[17], ,流星RAVE REMIX(H),流星☆ハニー Perforation Mix,148,2:01,894,詐称(+1.0)
[17], ,ルナティックリール(H),moon dance,124,1:59,871,詐称(+1.0)
[17], ,J-ロックΦNEW(H),Alicy,174,2:02,993,強(+0.5)
[18], ,一揆(H),IkkI!Explosion,250,2:02,963,強(+0.5)
[18], ,オリエンタルフォークロア(H),旗,132,2:01,931,弱(-0.5)
[18], ,ガールズ・カントリー(EX),Twin Trip,145,1:55,915,中(0.0)
[18], ,ハイパージャパネスク3(H),天上の星 ～黎明記～,85～170,1:43,909,強(+0.5)
[18], ,ヒップロック3.5(H),差無来!!,168～210,1:47,773,中(0.0)
[18], ,マンドリンステップ(EX),Liebe　～望郷～,100,1:45,807,弱(-0.5)
[19], ,アシッディドラムン(H),Happy Life,175,2:04,906,強(+0.5)
[19], ,アンデスヒーリング(EX),ナスカの丘,63～124,2:08,950,中(0.0)
[19], ,ヴェルヴェットバレットヒット(H),ヴェルヴェットバレット,177,1:53,989,中(0.0)
[19], ,エレクトリックダンスウェーヴ(EX),Music-U,152,1:51,912,弱(-0.5)
[19], ,テクノポップ(EX),I'm Screaming LOVE,147,1:54,907,弱(-0.5)
[19], ,土木ロック(H),ガッテンだ!!,85～170,1:57,895,弱(-0.5)
[19], ,ピザ(EX),ピッツァ・イタリアーノ,152,2:04,919,中(0.0)
[19], ,ルーニックエア(H),Princess Roki,126,1:46,803,中(0.0)
[19], ,80'ｓプリティポップ(EX),So good!!,146,2:03,1023,中(0.0)
[20], ,アフロパーカッションパーティー(H),Earth Beat,190,1:39,825,強(+0.5)
[20], ,あやかしロック(H),情操ディストピア,228,1:47,905,中(0.0)
[20], ,一生涯パンク(H),青春の扉,150～186,2:02,907,中(0.0)
[20], ,エヴァーポップREMIX(EX),2nd ADVENTURE (AGAIN),181,2:02,768,弱(-0.5)
[20], ,ストライフ(H),疾風,180,1:50,902,強(+0.5)
[20], ,プラチナムファンタジア(H),Märchen,210,1:42,907,強(+0.5)
[20], ,ブラックフュージョン(EX),JiGSaW！,115,1:48,860,強(+0.5)
[20], ,プログレッシブリール(EX),Tradria,120,1:40,796,中(0.0)
[20], ,ポッピングワンダー(EX),ふしぎ飛行,165,1:50,833,弱(-0.5)
[20], ,ラウンドポップ(EX),ゼロ・グラビティ,174,1:56,800,中(0.0)
[20], ,リフレクティブトランス(EX),Diamond Dust,148,1:40,754,弱(-0.5)
[20],[版],God only knows 第三幕(EX),God only knows 第三幕,130～170,1:31,769,強(+0.5)
[SP], ,アイドルラッシュ(EX),妄想ダイヤモンド,173,1:47,824,弱(-0.5)
[SP], ,ヴァリアントレイヴ(H),PUNISHER,180, ,893,弱(-0.5)
[SP], ,エッジ(H),雷君,181, ,819,弱(-0.5)
[SP], ,お米タル(H),お米の美味しい炊き方、そしてお米を食べることによるその効果。,190,1:56,931,中(0.0)
[SP], ,キーボーズポップ(EX),PEACEFUL PLANET PARTY,140,1:56,825,中(0.0)
[SP], ,コンテンポラリーネイション6(EX),砂塵カゲロウ,90,2:05,860,弱(-0.5)
[SP], ,ジュブナイルロック(H),偽りのアルカディア,197,2:09,1010,中(0.0)
[SP], ,スイーツポップ(EX),恋とキングコング,158,1:54,980,弱(-0.5)
[SP], ,スカーレット(H),紅焔,175,1:54,822,弱(-0.5)
[SP], ,ゾディアックオラクル1(H),ストレイ・マーチ,180,2:06,957,弱(-0.5)
[SP], ,ハードルネッサンス2(H),Evans,185,1:48,974,強(+0.5)
[SP], ,ハッピー(H),quaver♪,182～186,1:48,944,中(0.0)
[SP], ,ブロークンサンバブレイク(H),灼熱Beach Side Bunny,153,2:04,822,中(0.0)
[SP], ,J-エモ(EX),流れ星ソニック,172～186,1:56,999,中(0.0)
[LT], ,朱と碧のランページ(H),朱と碧のランページ,178, ,889,弱(-0.5)
[LT], ,憂恋☆アクティベーション(H),憂恋☆アクティベーション,150, ,907,中(0.0)
[LT], ,乙女繚乱 舞い咲き誇れ(H),乙女繚乱 舞い咲き誇れ,210, ,873,弱(-0.5)
[LT],[版],クノイチでも恋がしたい(EX),クノイチでも恋がしたい,185, ,909,中(0.0)
[LT], ,黒点(H),黒点,154, ,941,個人差(-1.5)
[LT], ,零と弌の鍵の唄(H),零と弌の鍵の唄,178, ,824,個人差(-1.5)
[LT], ,チョコレートスマイル(H),チョコレートスマイル,196,2:02,949,中(0.0)
[LT], ,徒然 My world(EX),徒然 My world,190, ,917,弱(-0.5)
[LT], ,夏色DIARY (Yu-yake Style)(EX),夏色DIARY (Yu-yake Style),137, ,948,中(0.0)
[LT], ,曼珠沙華(H),曼珠沙華,91～182, ,853,弱(-0.5)
[LT], ,Cleopatrysm(H),Cleopatrysm,190, ,820,弱(-0.5)
[LT], ,Dimension Gale(H),Dimension Gale,155, ,845,詐称(+1.0)
[LT], ,FRAGMENTS ～ふたつの記憶～(EX),FRAGMENTS ～ふたつの記憶～,152, ,908,弱(-0.5)
[LT], ,Go↓Go↑Girls&Boys!(EX),Go↓Go↑Girls&Boys!,158, ,1069,中(0.0)
[LT], ,Habits(H),Habits,162, ,827,詐称(+1.0)
[LT], ,ice crystals(H),ice crystals,185, ,726,中(0.0)
[LT], ,Perverse Heart ～あまのじゃく～(EX),Perverse Heart ～あまのじゃく～,143, ,954,中(0.0)
[LT], ,Symsonic Breeze(H),Symsonic Breeze,170,1:49,821,強(+0.5)
[écl], ,在るが儘に(H),在るが儘に,181, ,862,個人差(-1.5)
[écl], ,エキサイティング！！も・ちゃ・ちゃ☆(H),エキサイティング！！も・ちゃ・ちゃ☆,187, ,928,中(0.0)
