 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度

[5], ,ハイテンション(EX),どうなっちゃったって,169,1:46,1136,弱(-0.454±0.6)

[6], ,ソウル(EX),Gotta Get My Groove On,110,1:50,1099,弱(-0.550±0.6)

[6], ,モダニズム(EX),電波の暮らし,165,1:36,1027,弱(-0.536±0.6)

[8], ,スカ(EX),Cassandra,68～192,1:43,928,中(-0.204±0.7)

[8], ,メロパンク(EX),pure,120～168,1:37,868,中(-0.194±0.5)

[8], ,ラウンジポップ(EX),Linus,160～176,1:48,1234,詐称(+1.123±0.2)

[8], ,ワールドツアー(EX),Miracle 4,100～160,2:03,1140,中(-0.123±0.6)

[9], ,ダークネス2(EX),禁じられた契約,110～150,2:00,1189,中(-0.271±0.6)

[9], ,ロックギター(EX),ABSOLUTE,144,1:59,1145,弱(-0.963±0.4)

[10], ,エレジィ(EX),幸せを謳う詩,167～210,1:59,1010,弱(-0.432±0.6)

[11], ,ねぶた(EX),烏,140,1:39,939,強(+0.956±0.4)

[11], ,未来派(EX),demolizione,160,1:28,780,中(-0.149±0.8)

[12], ,ビーチ(EX),Into The Light,130,1:55,1143,弱(-0.431±0.5)

[12], ,フロウビート(EX),CURUS,184～188,1:57,1319,中(-0.384±0.6)

[13], ,哀愁ユーロ(EX),MOON,156,1:59,1134,強(+0.576±0.6)

[13], ,エージビート(EX),NEW PEOPLE,110,2:01,1290,弱(-0.504±0.5)

[14], ,ヴイエスサウンド(EX),異能対決！VS.淀ジョル,155,1:41,1072,弱(-0.946±0.5)

[14], ,サイケデリックトランス(EX),Psyche Planet-V,150,1:57,1250,中(+0.122±0.7)

[14], ,デスロック(EX),レトロスペクト路,165,1:50,1232,弱(-0.672±0.6)

[14], ,トライバルポップ(EX),Gradation,125,1:52,1111,中(-0.218±0.5)

[14], ,バトルダンス(EX),シャムシールの舞,100～155,1:52,1181,中(+0.000±0.7)

[14], ,ブルガリアンリズム(EX),Deep Magenta,204,1:44,1287,中(-0.100±0.7)

[15], ,ウェルフェア(EX),つばめ,139,1:50,996,中(-0.089±0.6)

