 ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[2],ヘビーメタル(EX),I'm on Fire,150,1:30,1190,強(+0.936±0.4)
[9],オイパンク0(EX),ブタパンチのテーマ,90～360,1:48,1316,弱(-0.424±0.4)
[14],プログレッシブバロック(EX),Übertreffen,174,1:34,1280,中(+0.041±0.3)
[15],ニエンテ(EX),neu,199,2:21,1899,強(+0.587±0.3)
[17],メタリックオペラ(EX),Geiselhaus,180,1:47,1481,中(-0.147±0.3)
[19],スケールアウト(EX),BabeL 〜Next Story〜,100～173,2:03,1756,強(+0.704±0.2)
[19],ルイナススピリチュアル(EX),Remain,150,1:51,1254,中(-0.302±0.4)
[20],ヴェラム(EX),Eine Haube 〜聖地の果てにあるもの〜,170,1:50,1328,弱(-0.755±0.3)
[SP],アンセム(EX),天空の夜明け,150,2:09,1472,中(-0.220±0.3)
[SP],インボルク(EX),生命の焔纏いて,184,2:00,1560,中(-0.016±0.3)
[SP],C18H27NO3(EX),C18H27NO3,210,2:00,1490,中(-0.147±0.3)
[SP],ジャッジメント(EX),終末を追う者,185,1:46,1525,中(+0.082±0.4)
[SP],スペースレクイエム(EX),Zirkfied,210,2:09,1539,強(+0.575±0.3)
[SP],ゾディアックオラクル7(EX),アストライアの双皿,173,2:04,1515,中(-0.323±0.5)
[SP],ハードルネッサンス(EX),Elemental Creation,212,2:09,1584,中(-0.025±0.4)
[SP],ブラッドメタル(EX),IX,198,2:00,1503,弱(-0.702±0.3)
[LT],DIAVOLO(EX),DIAVOLO,160,1:47,1464,中(+0.232±0.5)
[LT],Innocence(EX),Innocence,120～180,2:01,1428,中(+0.082±0.3)
[LT],perditus†paradisus(EX),perditus†paradisus,172,2:05,1499,中(+0.253±0.3)
[LT],QuoN(EX),QuoN,168,2:12,1518,中(-0.235±0.2)
[LT],RINИE(EX),RINИE,198,2:04,1535,中(+0.075±0.3)
[écl],激走！！ヤング☆ダンプ！(EX),激走！！ヤング☆ダンプ！,180,2:01,1704,強(+0.519±0.3)
[écl],恋歌疾風！かるたクイーンいろは(EX),恋歌疾風！かるたクイーンいろは,120～168,2:02,1589,中(-0.160±0.3)
